"year","firm","asst","liab","eqty","sales","cost_sales","indst"
2019,"삼호개발",30,11,19,36,33,"제조업"
2019,"국보",13,9,4,9,7,"제조업"
2019,"유유제약",14,5,9,9,4,"제조업"
2019,"대구백화점",67,39,29,10,0,"제조업"
2019,"현대코퍼레이션홀딩스",24,6,18,18,16,"제조업"
2019,"삼아알미늄",21,10,11,19,17,"제조업"
2019,"영화금속",20,13,7,23,21,"제조업"
2019,"계양전기",28,10,18,38,31,"제조업"
2019,"상상인증권",47,32,15,2,NA,"증권업"
2019,"한국특수형강",31,25,7,39,38,"제조업"
2019,"유니온",33,18,14,21,17,"제조업"
2019,"퍼스텍",18,15,3,13,12,"제조업"
2019,"부국철강",12,1,11,13,13,"제조업"
2019,"태경비케이",30,10,20,19,15,"제조업"
2019,"남광토건",20,15,5,24,21,"제조업"
2019,"한국공항",46,14,32,53,48,"제조업"
2019,"무림페이퍼",216,147,69,112,97,"제조업"
2019,"DSR",24,9,16,24,21,"제조업"
2019,"제이준코스메틱",12,7,5,5,4,"제조업"
2019,"인디에프",15,9,6,20,10,"제조업"
2019,"대유플러스",109,92,17,53,45,"제조업"
2019,"세아특수강",57,25,33,72,67,"제조업"
2019,"황금에스티",40,10,29,24,20,"제조업"
2019,"태경케미컬",14,2,12,4,3,"제조업"
2019,"삼원강재",25,4,21,27,25,"제조업"
2019,"웰바이오텍",12,4,8,8,7,"제조업"
2019,"우진",20,7,13,9,7,"제조업"
2019,"우성사료",34,16,17,34,29,"제조업"
2019,"조흥",22,9,13,20,17,"제조업"
2019,"KTcs",38,21,16,94,0,"제조업"
2019,"세하",19,15,4,18,15,"제조업"
2019,"천일고속",8,3,5,6,5,"제조업"
2019,"화신",81,51,30,116,109,"제조업"
2019,"고려산업",21,11,10,19,16,"제조업"
2019,"가온전선",51,26,26,83,79,"제조업"
2019,"조비",9,4,5,7,6,"제조업"
2019,"두올",36,19,18,47,39,"제조업"
2019,"제이에스코퍼레이션",20,4,16,25,20,"제조업"
2019,"비비안",13,3,10,20,9,"제조업"
2019,"세우글로벌",5,1,4,3,2,"제조업"
2019,"SH에너지화학",12,2,10,14,13,"제조업"
2019,"대림B&Co",31,15,16,24,19,"제조업"
2019,"KTis",31,14,17,45,0,"제조업"
2019,"유니켐",17,8,9,11,8,"제조업"
2019,"신영와코루",34,3,31,18,7,"제조업"
2019,"TCC스틸",31,20,12,44,41,"제조업"
2019,"포스코강판",50,28,22,92,87,"제조업"
2019,"광명전기",16,5,11,13,12,"제조업"
2019,"KR모터스",14,11,4,13,13,"제조업"
2019,"SG충방",20,7,13,13,11,"제조업"
2019,"대유에이텍",112,88,24,128,108,"제조업"
2019,"신세계건설",78,58,20,102,92,"제조업"
2019,"지투알",50,36,14,54,38,"제조업"
2019,"영풍제지",14,2,12,10,8,"제조업"
2019,"엔케이",15,6,9,11,10,"제조업"
2019,"동방아그로",19,6,14,12,9,"제조업"
2019,"사조오양",31,14,17,31,27,"제조업"
2019,"삼화왕관",24,9,15,12,9,"제조업"
2019,"동성화학",19,6,12,20,15,"제조업"
2019,"비케이탑스",10,6,4,6,6,"제조업"
2019,"KCTC",42,23,20,45,38,"제조업"
2019,"신풍제지",19,12,7,16,13,"제조업"
2019,"참엔지니어링",72,64,8,11,8,"제조업"
2019,"비상교육",29,7,21,20,10,"제조업"
2019,"인터지스",42,24,18,48,44,"제조업"
2019,"다스코",21,9,12,22,19,"제조업"
2019,"휴니드",26,15,12,19,17,"제조업"
2019,"웅진",291,264,27,82,44,"제조업"
2019,"성보화학",17,3,15,4,3,"제조업"
2019,"대현",26,6,20,30,13,"제조업"
2019,"쎌마테라퓨틱스",2,1,0,1,1,"제조업"
2019,"동양피스톤",35,24,11,36,32,"제조업"
2019,"윌비스",28,18,10,27,24,"제조업"
2019,"태평양물산",61,43,18,97,80,"제조업"
2019,"새론오토모티브",26,4,21,15,14,"제조업"
2019,"한국수출포장",31,6,25,27,22,"제조업"
2019,"동방",63,51,12,63,56,"제조업"
2019,"동양고속",19,5,13,14,12,"제조업"
2019,"영보화학",18,3,15,13,10,"제조업"
2019,"메타랩스",10,4,6,9,6,"제조업"
2019,"한국내화",21,7,14,22,19,"제조업"
2019,"화인베스틸",21,12,9,13,13,"제조업"
2019,"삼영화학",11,6,4,11,10,"제조업"
2019,"한창",9,7,3,7,5,"제조업"
2019,"유성기업",40,9,31,26,24,"제조업"
2019,"삼정펄프",21,2,18,15,13,"제조업"
2019,"혜인",22,12,10,26,22,"제조업"
2019,"유양디앤유",21,9,12,11,10,"제조업"
2019,"티웨이홀딩스",87,63,25,82,76,"제조업"
2019,"제일연마",10,2,8,8,6,"제조업"
2019,"대원전선",19,11,8,40,39,"제조업"
2019,"DSR제강",20,6,14,19,17,"제조업"
2019,"화천기공",37,8,30,21,17,"제조업"
2019,"경동인베스트",61,19,41,27,22,"제조업"
2019,"CS홀딩스",31,3,29,13,10,"제조업"
2019,"NI스틸",26,15,11,15,12,"제조업"
2019,"조광페인트",31,14,17,20,17,"제조업"
2019,"호전실업",29,17,12,31,25,"제조업"
2019,"대림통상",18,9,9,18,16,"제조업"
2019,"대원화성",13,5,8,13,11,"제조업"
2019,"주연테크",6,2,4,7,6,"제조업"
2019,"한국프랜지",65,42,23,95,89,"제조업"
2019,"평화산업",19,16,3,35,34,"제조업"
2019,"화천기계",16,3,12,16,15,"제조업"
2019,"한익스프레스",27,19,7,58,56,"제조업"
2019,"덕양산업",51,45,6,136,135,"제조업"
