Symbol,Name,year,profit,oper_income,net_income
A004000,롯데정밀화학,2019,21.62,14.46,12.84
A111770,영원무역,2018,27.09,9.57,5.30
A111770,영원무역,2019,25.37,9.95,7.30
A003520,영진약품,2018,32.96,-1.17,-3.27
A003520,영진약품,2019,36.18,4.53,2.28
A010780,아이에스동서,2018,32.98,23.81,15.27
A010780,아이에스동서,2019,23.75,6.87,7.70
A013890,지누스,2018,28.37,8.54,7.01
A013890,지누스,2019,31.84,12.71,8.86
A051600,한전KPS,2018,21.64,15.41,12.98
A051600,한전KPS,2019,22.06,15.55,12.30
A003090,대웅,2018,44.48,7.25,2.66
A003090,대웅,2019,46.38,7.87,5.22
A139130,DGB금융지주,2018,33.18,8.02,9.71
A139130,DGB금융지주,2019,28.48,8.72,7.32
A011210,현대위아,2018,3.83,0.06,-0.71
A011210,현대위아,2019,5.42,1.39,0.75
A005690,파미셀,2018,41.63,0.92,-44.73
A005690,파미셀,2019,40.12,6.05,13.38
A272210,한화시스템,2018,12.73,3.97,3.65
A272210,한화시스템,2019,15.23,5.55,4.72
A006120,SK디스커버리,2018,4.61,1.44,1.41
A006120,SK디스커버리,2019,8.42,3.46,4.98
A020560,아시아나항공,2018,10.16,0.39,-2.73
A020560,아시아나항공,2019,3.98,-6.37,-11.74
A007570,일양약품,2018,51.43,5.57,1.08
A007570,일양약품,2019,55.08,10.02,6.04
A214320,이노션,2018,38.08,9.54,7.46
A214320,이노션,2019,40.49,9.56,7.42
A336370,두산솔루스,2018,,,
A336370,두산솔루스,2019,33.72,14.54,6.42
A175330,JB금융지주,2018,51.19,17.02,13.11
A175330,JB금융지주,2019,51.18,20.14,15.04
A001740,SK네트웍스,2018,7.20,1.06,0.06
A001740,SK네트웍스,2019,8.54,0.84,-0.94
A011000,진원생명과학,2018,31.19,-32.83,-34.69
A011000,진원생명과학,2019,31.25,-19.90,-18.47
A073240,금호타이어,2018,17.75,-3.84,-7.50
A073240,금호타이어,2019,22.53,2.42,-1.83
A192080,더블유게임즈,2018,100.00,28.11,18.17
A192080,더블유게임즈,2019,100.00,30.09,21.46
A271980,제일약품,2018,22.11,1.18,0.30
A271980,제일약품,2019,22.63,0.06,-1.58
A069620,대웅제약,2018,39.75,2.68,-1.49
A069620,대웅제약,2019,42.96,4.01,2.59
A032350,롯데관광개발,2018,41.94,3.95,-148.37
A032350,롯데관광개발,2019,25.78,-18.26,-15.93
A031430,신세계인터내셔날,2018,55.71,4.40,4.57
A031430,신세계인터내셔날,2019,58.73,5.93,5.19
A161890,한국콜마,2018,26.29,6.63,2.71
A161890,한국콜마,2019,28.06,7.65,2.18
A120110,코오롱인더,2018,25.19,3.74,0.96
A120110,코오롱인더,2019,25.66,3.92,0.50
A018670,SK가스,2018,4.39,1.50,0.81
A018670,SK가스,2019,8.30,3.84,3.13
A069260,휴켐스,2018,23.12,18.25,13.77
A069260,휴켐스,2019,21.67,16.12,10.66
A192820,코스맥스,2018,12.28,4.15,1.67
A192820,코스맥스,2019,13.79,4.06,1.38
A284740,쿠쿠홈시스,2018,62.00,16.12,9.12
A284740,쿠쿠홈시스,2019,62.86,18.18,12.04
A000670,영풍,2018,0.26,-3.67,1.56
A000670,영풍,2019,7.06,2.74,6.72
A023590,다우기술,2018,26.92,13.81,9.60
A023590,다우기술,2019,27.85,15.64,12.20
A093370,후성,2018,25.04,14.40,10.20
A093370,후성,2019,20.73,5.40,0.08
A003690,코리안리,2018,73.56,1.45,1.04
A003690,코리안리,2019,73.48,2.34,1.77
A057050,현대홈쇼핑,2018,72.97,11.04,16.37
A057050,현대홈쇼핑,2019,43.55,5.88,3.89
A003240,태광산업,2018,34.64,10.66,8.01
A003240,태광산업,2019,34.90,9.99,5.74
A001680,대상,2018,25.87,4.06,2.21
A001680,대상,2019,25.45,4.38,3.67
A114090,GKL,2018,29.26,21.87,16.18
A114090,GKL,2019,27.33,19.73,14.75
A016380,KG동부제철,2018,3.55,-0.64,-2.60
A016380,KG동부제철,2019,5.72,1.43,-1.38
A241590,화승엔터프라이즈,2018,13.99,4.58,1.94
A241590,화승엔터프라이즈,2019,15.33,7.11,5.42
A363280,티와이홀딩스,2018,,,
A363280,티와이홀딩스,2019,,,
A210980,SK디앤디,2018,25.12,15.12,9.31
A210980,SK디앤디,2019,29.03,18.09,9.87
A001800,오리온홀딩스,2018,44.92,11.54,5.92
A001800,오리온홀딩스,2019,44.13,12.68,7.43
A002320,한진,2018,6.04,2.16,2.34
A002320,한진,2019,8.20,4.40,-0.14
A000150,두산,2018,17.51,6.74,-1.95
A000150,두산,2019,17.04,6.81,2.34
A005300,롯데칠성,2018,39.59,3.62,-2.13
A005300,롯데칠성,2019,40.49,4.43,-5.93
A001440,대한전선,2018,7.54,3.00,-0.36
A001440,대한전선,2019,6.37,2.14,-0.81
A006040,동원산업,2018,14.82,7.27,2.90
A006040,동원산업,2019,15.22,7.22,1.92
A298020,효성티앤씨,2018,7.61,3.72,0.94
A298020,효성티앤씨,2019,9.42,5.40,2.04
A014820,동원시스템즈,2018,13.22,7.68,6.20
A014820,동원시스템즈,2019,12.54,7.21,4.49
A003850,보령제약,2018,40.97,5.42,4.41
A003850,보령제약,2019,42.53,7.45,6.15
A064960,S&T모티브,2018,12.14,6.33,6.23
A064960,S&T모티브,2019,15.70,9.14,0.38
A079160,CJ CGV,2018,51.56,4.39,-10.66
A079160,CJ CGV,2019,40.42,6.28,-12.31
A000640,동아쏘시오홀딩스,2018,33.31,7.14,-23.16
A000640,동아쏘시오홀딩스,2019,34.42,6.86,2.60
A071840,롯데하이마트,2018,26.09,4.53,2.08
A071840,롯데하이마트,2019,24.85,2.73,-2.48
A192650,드림텍,2018,13.18,7.05,6.16
A192650,드림텍,2019,13.72,5.44,4.18
A003230,삼양식품,2018,26.75,11.76,7.52
A003230,삼양식품,2019,28.91,14.40,11.04
A005850,에스엘,2018,8.33,0.29,1.57
A005850,에스엘,2019,9.27,1.93,3.85
A005440,현대그린푸드,2018,17.52,4.22,3.91
A005440,현대그린푸드,2019,17.22,2.88,2.05
A001120,LG상사,2018,7.12,1.66,-0.36
A001120,LG상사,2019,6.78,1.28,-0.14
A103140,풍산,2018,9.63,3.87,2.24
A103140,풍산,2019,7.65,1.68,0.72
A011930,신성이엔지,2018,9.93,-0.98,2.52
A011930,신성이엔지,2019,12.82,2.15,0.46
A170900,동아에스티,2018,51.69,6.95,1.41
