date,kor,usa,jpn,uk
2005-05-09,-0.64,-0.11,1.73,0.34
2005-05-10,-0.07,0.64,-0.19,-0.17
2005-05-11,-1.15,-1.07,-0.11,-0.36
2005-05-12,-0.28,0.42,-0.35,-0.35
2005-05-13,0.15,-1,-0.38,0.37
2005-05-16,0.66,-0.46,-0.26,-0.14
2005-05-17,-0.12,1.01,-0.92,-0.05
2005-05-18,0.48,0.7,-1.11,0.29
2005-05-19,2.47,1,0.09,1.04
2005-05-20,-0.02,0.47,2.23,0.27
2005-05-23,-0.12,-0.15,-0.36,0.18
2005-05-24,0.03,0.39,1.1,0.36
2005-05-25,-1.25,0.02,-0.22,-0.15
2005-05-26,0.27,-0.34,-1.07,-0.22
2005-05-27,1.8,0.64,0.12,0.47
2005-05-30,0.61,0.1,1.49,-0.17
2005-05-31,0.16,0,0.66,
2005-06-01,0.05,-0.61,0.09,-0.45
2005-06-02,0.11,0.9,0.47,0.95
2005-06-03,0.53,0.17,-0.44,-0.12
2005-06-07,-0.72,-0.69,0.18,-0.11
2005-06-08,0.67,-0.02,-0.47,0.9
2005-06-09,1.27,-0.22,0.57,-0.43
2005-06-10,0.36,0.52,-1.07,0.11
2005-06-13,-0.02,-0.23,1.28,0.42
2005-06-14,-0.59,0.23,0.06,0.4
2005-06-15,1.87,0.26,0.22,-0.07
2005-06-16,0,0.22,0.71,-0.54
2005-06-17,0.05,0.36,0,0.51
2005-06-20,-0.9,0.5,0.86,0.65
2005-06-21,-0.4,-0.07,-0.27,-0.11
2005-06-22,1.24,-0.2,0.05,0.2
2005-06-23,0.89,0.02,0.51,0.34
2005-06-24,-1,-1.08,0.26,0.3
2005-06-27,-1.26,-0.76,-0.34,-0.69
2005-06-28,0.37,-0.07,-1.06,-0.7
2005-06-29,0.38,0.91,0.87,0.93
2005-06-30,0.79,-0.14,0.55,0.37
2005-07-01,0.9,-0.71,0.06,0.08
2005-07-04,0.28,0.26,0.4,0.93
2005-07-05,-0.31,,0.18,0.45
2005-07-06,0.08,0.88,-0.3,0.11
2005-07-07,0.82,-0.83,-0.11,0.76
2005-07-08,-0.33,0.25,-0.12,-1.36
2005-07-11,1.98,1.17,-0.21,1.43
2005-07-12,0.28,0.63,0.94,0.19
2005-07-13,0.74,0.23,0.15,-0.48
2005-07-14,1.28,0.09,-0.28,0.55
2005-07-15,-0.37,0.26,0.9,0.26
2005-07-18,0.22,0.12,-0.05,-0.55
2005-07-19,1.37,-0.55,,-0.32
2005-07-20,-0.06,0.67,0.05,-0.24
2005-07-21,0.04,0.48,0.21,0.26
2005-07-22,-0.18,-0.66,-0.02,0.12
2005-07-25,1.58,0.54,-0.78,0.39
2005-07-26,-0.01,-0.38,0.58,0.55
2005-07-27,0.14,0.17,-0.21,-0.28
2005-07-28,1.17,0.46,0.83,0.14
2005-07-29,0.66,0.56,0.2,0.13
2005-08-01,0.45,-0.77,0.35,0.23
2005-08-02,0.24,0.09,0.4,0.16
2005-08-03,-0.06,0.71,-0.06,0.69
2005-08-04,-0.48,0.07,0.35,0.09
2005-08-05,-1.96,-0.74,-0.82,-0.32
2005-08-08,-0.15,-0.76,-0.98,-0.02
2005-08-09,1.15,-0.27,0.11,0.56
2005-08-10,0.42,0.67,1.03,0.36
2005-08-11,1.86,-0.18,1.66,0.26
2005-08-12,0.47,0.71,1.37,-0.35
2005-08-16,-1.19,-0.6,-0.01,-0.24
2005-08-17,-0.3,-1.18,0.48,-0.41
2005-08-18,-1.88,0.07,-0.35,-0.56
2005-08-19,-0.34,-0.1,0.28,-0.44
2005-08-22,2.64,0.06,-0.13,0.82
2005-08-23,-0.09,0.17,1.31,0.11
2005-08-24,-2.08,-0.34,0.16,-0.34
2005-08-25,0.34,-0.66,0.24,-0.47
2005-08-26,-0.98,0.23,-0.78,-0.37
2005-08-29,-2.09,-0.6,0.28,-0.53
2005-08-30,0.92,0.6,-1.04,0
2005-08-31,1.02,-0.32,1.16,0.53
2005-09-01,2.17,0.99,-0.32,0.78
2005-09-02,0.82,0.1,0.75,0.6
2005-09-05,-0.17,-0.29,0.74,-0.03
2005-09-06,0.8,0,0.28,0.21
2005-09-07,1.89,1.26,-0.28,0.4
2005-09-08,0.31,0.24,0.06,0.13
2005-09-09,0.63,-0.38,-0.58,-0.47
2005-09-12,0.53,0.8,1.26,0.35
2005-09-13,0.11,-0.07,1.61,0.29
2005-09-14,1.16,-0.75,0.04,-0.69
2005-09-15,-0.03,-0.33,-0.52,0.18
2005-09-16,0.37,0.05,1.19,0.68
2005-09-20,1.4,0.83,-0.22,0.45
2005-09-21,0.42,-0.79,1.47,-0.24
2005-09-22,0.24,-0.91,0.37,-0.86
2005-09-23,-2.13,0.37,-0.28,0.3
2005-09-26,2.62,0.06,,0.52
2005-09-27,0.08,0.03,1.77,0.73
2005-09-28,1.51,0,-0.62,-0.11
2005-09-29,0.11,0.1,0.95,0.87
2005-09-30,-0.95,0.89,1.35,-0.3
2005-10-04,1.83,0.09,-0.32,-0.01
2005-10-05,-1.45,-1,1.58,-0.13
2005-10-06,-2.18,-1.89,-0.36,-1.21
2005-10-07,-0.16,0,-2.41,-1.02
2005-10-10,2.22,0.37,-0.99,-0.19
2005-10-11,1.42,-0.72,,0.23
2005-10-12,-2.33,-0.21,2.49,0.12
2005-10-13,-2.23,-0.61,-0.69,-0.72
2005-10-14,-0.24,-0.07,-0.11,-1.44
2005-10-17,-1.07,0.83,-0.21,0.19
2005-10-18,0.93,0.3,-0.15,0.22
2005-10-19,-2.73,-1,-0.36,-0.43
2005-10-20,0.88,1.5,-1.67,-1.83
2005-10-21,1.88,-1.5,0.46,-0.07
2005-10-24,0.03,0.15,0.07,-0.43
2005-10-25,-0.33,1.68,-0.71,1.27
2005-10-26,-0.2,-0.24,1.33,-0.49
2005-10-27,-1.04,-0.43,0.86,0.88
2005-10-28,-2.22,-1.05,0.16,-0.86
2005-10-31,1.56,1.65,-0.53,0.59
2005-11-01,2.78,0.72,1.95,1.99
2005-11-02,1.71,-0.35,1.92,0.51
2005-11-03,0.83,1,0.19,0.27
2005-11-04,0.25,0.43,,1.37
2005-11-07,-0.34,0.02,1.3,-0.15
2005-11-08,0.62,0.22,-0.1,0.69
2005-11-09,0.1,-0.35,-0.18,0
2005-11-10,0.52,0.17,0.25,-0.39
2005-11-11,1.97,0.84,0.06,-0.3
2005-11-14,0.13,0.31,0.53,0.77
2005-11-15,-0.33,-0.08,-0.28,0.09
2005-11-16,1.08,-0.39,-0.17,-0.56
2005-11-17,0.09,0.18,0.56,-0.18
2005-11-18,0.22,0.94,1.7,0.55
2005-11-21,-0.39,0.36,1.47,0.71
2005-11-22,-2.1,0.61,0.39,-0.02
2005-11-23,3,0.51,0.19,0.35
2005-11-24,0.66,0.35,,0.26
2005-11-25,-0.03,,0.23,-0.37
2005-11-28,0.01,0.21,0.28,0.23
2005-11-29,-1.1,-0.85,1.37,-0.84
2005-11-30,1.37,0,-0.4,0.25
2005-12-01,0.61,-0.64,-0.37,-1.23
2005-12-02,0.35,1.22,1.74,1.16
2005-12-05,0.4,0.03,1.92,0.77
2005-12-06,0.6,-0.24,0.84,-0.32
2005-12-07,0.57,0.13,-0.82,0.52
2005-12-08,-0.05,-0.5,0.4,-0.18
2005-12-09,-0.57,-0.12,-1.95,0.04
2005-12-12,1.29,0.28,1.45,-0.25
2005-12-13,0.18,0.08,2.17,-0.29
2005-12-14,-0.29,0.56,0.26,0.1
2005-12-15,0.24,0.42,-1.99,0.25
2005-12-16,-1.23,-0.14,-1.36,-0.47
2005-12-19,1.45,-0.28,-0.53,0.66
2005-12-20,0.08,-0.58,1.44,0.15
2005-12-21,1.1,-0.02,1.62,0.15
2005-12-22,-0.03,0.25,2.02,0.71
2005-12-23,0.7,0.42,-0.1,0.17
2005-12-26,0.66,0.04,,-0.03
2005-12-27,0.53,,1.04,
2005-12-28,-0.59,-0.96,-0.86,
2005-12-29,0.72,0.13,1.41,0.49
2006-01-02,0.48,-0.3,0.92,0.28
2006-01-03,0.29,,,
2006-01-04,0.62,1.64,,1.12
2006-01-05,-0.61,0.37,,0.58
2006-01-06,1.15,0,0.39,-0.41
2006-01-09,-0.32,0.94,0.02,0.71
2006-01-10,-0.73,0.37,,-0.01
2006-01-11,-0.17,-0.04,-1.85,-0.75
2006-01-12,0.55,0.35,1.48,0.75
2006-01-13,1.15,-0.63,0.5,0.06
2006-01-16,0.37,0.12,0.06,-0.42
2006-01-17,-2.26,,-1.14,0.51
2006-01-18,-2.5,-0.36,-2.84,-0.72
2006-01-19,0.64,-0.39,-2.94,-0.62
2006-01-20,-2.48,0.56,2.31,0.52
2006-01-23,-1.5,-1.83,0,-0.37
2006-01-24,2.23,0.18,-2.14,-0.2
2006-01-25,1.01,0.24,1.88,-0.48
2006-01-26,0.69,-0.17,0.01,1.25
2006-01-27,2.25,0.72,1.53,0.32
2006-01-31,1.13,0.78,3.58,1.12
2006-02-01,-1.43,-0.4,0.6,-0.34
2006-02-02,-0.08,0.19,-1.02,0.72
2006-02-03,-2.95,-0.91,1.4,-0.94
2006-02-06,0.57,-0.54,-0.3,0.21
2006-02-07,-0.73,-0.73,0.53,0.23
2006-02-08,-1.71,0,-0.16,-0.44
2006-02-09,0.88,0.87,-2.68,-0.38
2006-02-10,1.02,-0.15,1.03,1.46
2006-02-13,-1.2,0.25,-1.11,-0.77
2006-02-14,0.61,-0.33,-2.34,0.51
2006-02-15,-1.95,1,1.93,-0.02
2006-02-16,0.89,0.35,-1.56,-0.01
2006-02-17,1.53,0.73,0.7,0.65
2006-02-20,1.09,-0.17,-2.06,0.3
2006-02-21,-0.14,,-1.75,0.29
