Symbol,Name,year,gross_profit,oper_income
A009970,영원무역홀딩스,2019,32.35,10.92
A000020,동화약품,2019,39.63,3.23
A025540,한국단자,2019,12.06,4.34
A001630,종근당홀딩스,2019,45.61,11.96
A272450,진에어,2019,3.68,-5.36
A281820,케이씨텍,2019,32.94,18.49
A017960,한국카본,2019,17.86,9.25
A003060,에이프로젠제약,2019,40.39,-3.85
A036420,제이콘텐트리,2019,43.26,6.39
A009290,광동제약,2019,20.89,3.38
A030610,교보증권,2019,21.10,7.60
A003070,코오롱글로벌,2019,10.67,3.60
A123890,한국자산신탁,2019,68.58,51.09
A004490,세방전지,2019,17.32,9.28
A024720,한국콜마홀딩스,2019,23.26,15.67
A145720,덴티움,2019,66.35,17.68
A001720,신영증권,2019,5.82,0.63
A008350,남선알미늄,2019,10.74,3.57
A138250,엔에스쇼핑,2019,83.14,5.77
A071320,지역난방공사,2019,6.11,1.78
A034830,한국토지신탁,2019,74.40,46.67
A003530,한화투자증권,2019,22.17,7.12
A010050,우리종금,2019,41.47,26.27
A017390,서울가스,2019,13.66,0.77
A093050,LF,2019,56.48,4.73
A249420,일동제약,2019,44.90,-0.27
A027410,BGF,2019,54.28,12.23
A002390,한독,2019,35.09,5.81
A053210,스카이라이프,2019,100.00,9.98
A322000,현대에너지솔루션,2019,14.60,4.95
A005070,코스모신소재,2019,4.98,-1.48
A006390,한일현대시멘트,2019,21.97,9.17
A298000,효성화학,2019,13.44,8.49
A068400,SK렌터카,2019,100.00,6.48
A006060,화승인더,2019,17.31,7.96
A025860,남해화학,2019,9.06,1.29
A298690,에어부산,2019,1.78,-5.98
A026890,디피씨,2019,32.82,8.48
A014830,유니드,2019,21.80,9.68
A075580,세진중공업,2019,8.18,3.16
A001200,유진투자증권,2019,25.19,5.96
A009410,태영건설,2019,16.81,9.97
A001780,알루코,2019,13.11,2.69
A293480,하나제약,2019,66.25,20.18
A002620,제일파마홀딩스,2019,24.89,1.23
A008730,율촌화학,2019,13.16,5.10
A009680,모토닉,2019,12.36,4.67
A096760,JW홀딩스,2019,39.39,0.38
A084690,대상홀딩스,2019,25.45,4.38
A011280,태림포장,2019,15.82,3.63
A003220,대원제약,2019,56.68,11.05
A002990,금호산업,2019,7.25,3.47
A005500,삼진제약,2019,49.90,18.56
A126560,현대퓨처넷,2019,36.76,13.93
A060980,한라홀딩스,2019,19.90,9.45
A000140,하이트진로홀딩스,2019,43.31,4.98
A016710,대성홀딩스,2019,13.71,2.60
A001510,SK증권,2019,41.35,3.89
A001430,세아베스틸,2019,5.81,1.49
A001500,현대차증권,2019,35.31,13.75
A002270,롯데푸드,2019,16.79,2.77
A005950,이수화학,2019,6.36,0.62
A084680,이월드,2019,41.64,9.52
A102460,이연제약,2019,56.45,6.00
A000370,한화손해보험,2019,59.14,-1.17
A267850,아시아나IDT,2019,9.66,4.62
A029460,케이씨,2019,19.93,13.21
A091810,티웨이항공,2019,6.80,-2.37
A002780,진흥기업,2019,8.18,5.13
A072710,농심홀딩스,2019,14.42,7.69
A017940,E1,2019,8.45,2.31
A004700,조광피혁,2019,23.89,14.64
A004430,송원산업,2019,20.44,7.28
A016800,퍼시스,2019,26.81,8.24
A092230,KPX홀딩스,2019,14.10,6.36
A004690,삼천리,2019,10.48,2.47
A195870,해성디에스,2019,14.96,7.09
A019680,대교,2019,18.39,3.86
A000050,경방,2019,28.93,9.31
A007460,에이프로젠 KIC,2019,24.74,3.28
A007810,코리아써키트,2019,5.76,2.55
A002960,한국쉘석유,2019,35.56,12.12
A101140,비티원,2019,10.94,-22.96
A213500,한솔제지,2019,17.85,5.51
A095720,웅진씽크빅,2019,57.06,3.32
A122900,아이마켓코리아,2019,5.48,1.78
A002310,아세아제지,2019,21.24,10.19
A000480,조선내화,2019,13.88,2.82
A037270,YG PLUS,2019,26.47,-0.02
A234080,JW생명과학,2019,28.55,17.48
A079430,현대리바트,2019,17.26,1.93
A272550,삼양패키징,2019,21.04,11.08
A037560,LG헬로비전,2019,91.91,2.63
A002210,동성제약,2019,38.22,-8.70
A002240,고려제강,2019,12.18,1.93
A034120,SBS,2019,19.61,1.54
A152330,코리아오토글라스,2019,22.90,12.62
A058650,세아홀딩스,2019,5.30,1.82
A004710,한솔테크닉스,2019,12.03,2.62
A161000,애경유화,2019,9.42,4.61
A005960,동부건설,2019,9.31,4.80
A001520,동양,2019,9.23,-3.73
A214330,금호에이치티,2019,5.80,1.62
A077500,유니퀘스트,2019,9.78,2.05
A003300,한일홀딩스,2019,16.54,5.06
A079980,휴비스,2019,9.82,0.47
A012610,경인양행,2019,23.62,6.56
A033180,필룩스,2019,33.78,2.15
A033240,자화전자,2019,11.45,-2.52
A006840,AK홀딩스,2019,24.66,3.49
A016580,환인제약,2019,49.74,16.44
A029530,신도리코,2019,19.96,1.47
A900140,엘브이엠씨홀딩스,2019,7.09,-8.30
A002100,경농,2019,32.71,3.82
A007860,서연,2019,11.13,1.51
A344820,케이씨씨글라스,2019,,
A002020,코오롱,2019,10.59,2.83
A002810,삼영무역,2019,9.47,3.35
A317400,자이에스앤디,2019,10.39,5.93
A005390,신성통상,2019,36.51,4.27
A002150,도화엔지니어링,2019,100.00,5.24
A001130,대한제분,2019,19.24,2.51
A007690,국도화학,2019,11.33,3.75
A001390,KG케미칼,2019,23.25,5.70
A037710,광주신세계,2019,88.01,35.58
A025000,KPX케미칼,2019,13.10,6.32
A306200,세아제강,2019,9.01,3.74
A000430,대원강업,2019,9.99,2.81
A015860,일진홀딩스,2019,16.37,3.46
A094280,효성ITX,2019,9.70,3.36
A136490,선진,2019,17.01,3.96
A033530,세종공업,2019,11.09,1.08
A006490,인스코비,2019,46.18,6.29
A044450,KSS해운,2019,27.52,22.89
A016450,한세예스24홀딩스,2019,24.55,3.53
A101530,해태제과식품,2019,33.28,2.10
A214390,경보제약,2019,21.24,3.23
A007340,디티알오토모티브,2019,15.47,8.63
A092220,KEC,2019,11.27,-3.45
A068290,삼성출판사,2019,52.82,2.37
A101060,SBS미디어홀딩스,2019,16.54,1.98
A183190,아세아시멘트,2019,21.10,9.66
A001270,부국증권,2019,19.13,5.90
A036530,S&T홀딩스,2019,15.07,8.35
A001940,KISCO홀딩스,2019,9.66,4.87
A144620,코오롱머티리얼,2019,8.02,-6.78
A229640,LS전선아시아,2019,9.27,4.99
A104700,한국철강,2019,6.45,1.70
A001360,삼성제약,2019,21.09,-14.52
A016590,신대양제지,2019,25.39,14.64
A063160,종근당바이오,2019,26.37,11.23
A001570,금양,2019,20.74,5.33
A004380,삼익THK,2019,16.14,3.21
A093230,이아이디,2019,7.59,1.05
A005720,넥센,2019,29.22,9.82
A123690,한국화장품,2019,55.43,-13.26
A002900,동양물산,2019,16.36,2.22
A005810,풍산홀딩스,2019,12.69,4.08
A008060,대덕,2019,8.76,4.33
A005420,코스모화학,2019,5.93,-1.28
A015360,예스코홀딩스,2019,13.19,2.00
A031440,신세계푸드,2019,13.08,1.68
A035510,신세계 I&C,2019,14.70,4.06
A095570,AJ네트웍스,2019,100.00,1.48
A003560,IHQ,2019,100.00,-7.09
A003120,일성신약,2019,37.52,-2.60
A017180,명문제약,2019,45.82,-9.57
A001530,DI동일,2019,26.47,5.17
A013580,계룡건설,2019,10.44,5.97
A248170,샘표식품,2019,46.67,11.04
A070960,용평리조트,2019,10.26,-3.19
A009580,무림P&P,2019,15.38,7.83
A078520,에이블씨엔씨,2019,60.01,0.43
A011760,현대상사,2019,2.83,1.02
A084010,대한제강,2019,8.27,4.11
A004310,현대약품,2019,47.33,1.16
A012690,모나리자,2019,20.91,2.35
A003920,남양유업,2019,23.98,0.04
A003030,세아제강지주,2019,8.14,2.39
A002170,삼양통상,2019,29.38,25.73
A008700,아남전자,2019,10.09,1.28
A089470,HDC현대EP,2019,10.30,4.08
A004360,세방,2019,9.78,2.23
A308170,센트랄모텍,2019,9.74,3.53
A002720,국제약품,2019,47.68,5.01
A001070,대한방직,2019,1.88,-8.30
A102260,동성코퍼레이션,2019,17.41,6.10
A000970,한국주철관,2019,19.19,3.56
A004720,우리들제약,2019,52.98,1.25
A002030,아세아,2019,21.16,10.25
A005090,삼광글라스,2019,10.68,0.39
A016610,DB금융투자,2019,30.49,8.81
A033920,무학,2019,37.15,-8.06
A011150,CJ씨푸드,2019,12.24,2.48
A003570,S&T중공업,2019,10.26,5.13
A028100,동아지질,2019,8.81,6.02
A003350,한국화장품제조,2019,14.87,1.71
A000540,흥국화재,2019,58.45,1.04
A036580,팜스코,2019,12.70,1.73
A000680,LS네트웍스,2019,26.21,-5.35
A030210,KTB투자증권,2019,61.29,9.85
A003200,일신방직,2019,18.69,2.74
A082740,HSD엔진,2019,1.59,-3.24
A047400,유니온머티리얼,2019,16.42,3.34
A044820,코스맥스비티아이,2019,13.22,-1.57
A005680,삼영전자,2019,12.32,2.31
A003580,넥스트사이언스,2019,43.18,-12.44
A002630,오리엔트바이오,2019,19.10,-29.84
A091090,세원셀론텍,2019,10.69,0.87
A001790,대한제당,2019,10.86,2.45
A118000,우리들휴브레인,2019,7.66,-0.15
A214420,토니모리,2019,58.48,-0.16
A001460,BYC,2019,40.69,13.71
A004540,깨끗한나라,2019,14.37,0.87
A004960,한신공영,2019,11.85,7.67
A004980,성신양회,2019,18.97,2.93
A025750,한솔홈데코,2019,11.54,-0.63
A023800,인지컨트롤스,2019,11.51,1.13
A004890,동일산업,2019,4.41,-0.28
A015890,태경산업,2019,19.20,2.07
A007660,이수페타시스,2019,5.14,-4.66
A006890,태경케미컬,2019,27.07,2.85
A020120,키다리스튜디오,2019,32.17,2.63
A107590,미원홀딩스,2019,14.31,4.12
A039570,HDC아이콘트롤스,2019,10.16,5.13
A000490,대동공업,2019,23.38,2.94
A002760,보락,2019,13.57,1.75
A138490,코오롱플라스틱,2019,11.51,3.12
A015590,큐로,2019,19.30,13.45
A100250,진양홀딩스,2019,15.94,5.71
A009160,SIMPAC,2019,10.41,2.59
A077970,STX엔진,2019,10.89,4.92
A002460,화성산업,2019,16.25,6.56
A055490,테이팩스,2019,18.40,7.35
A007160,사조산업,2019,7.68,2.48
A001250,GS글로벌,2019,3.80,1.50
A017550,수산중공업,2019,20.09,4.59
A007110,일신석재,2019,15.20,2.63
A013870,지엠비코리아,2019,13.21,1.78
A117580,대성에너지,2019,14.77,3.13
A083420,그린케미칼,2019,6.74,3.37
A005320,국동,2019,15.51,-1.90
A102280,쌍방울,2019,23.53,-10.71
A004770,써니전자,2019,35.27,16.49
A004970,신라교역,2019,9.69,-1.15
A001340,백광산업,2019,28.75,12.59
A021050,서원,2019,6.78,3.09
A143210,핸즈코퍼레이션,2019,13.22,3.03
A090350,노루페인트,2019,22.71,4.50
A013520,화승알앤에이,2019,18.17,4.19
A000700,유수홀딩스,2019,19.00,-2.13
A000520,삼일제약,2019,38.58,3.98
A004150,한솔홀딩스,2019,11.16,2.18
A128820,대성산업,2019,11.19,-1.11
A007210,벽산,2019,14.48,-0.88
A074610,이엔플러스,2019,2.33,-38.15
A014160,대영포장,2019,15.09,4.96
A009320,대우부품,2019,14.71,-1.86
A007540,샘표,2019,47.02,10.51
A012030,DB,2019,23.53,7.75
A014790,한라,2019,13.21,5.19
A017900,광전자,2019,11.59,-0.87
A134380,미원화학,2019,17.80,10.01
A000180,성창기업지주,2019,13.13,-1.95
A120030,조선선재,2019,31.63,22.05
A002410,범양건영,2019,7.21,4.15
A004270,남성,2019,25.90,0.63
A003460,유화증권,2019,77.48,30.22
A119650,KC코트렐,2019,11.66,2.83
A027740,마니커,2019,2.73,-6.22
A003960,사조대림,2019,14.39,3.73
A000390,삼화페인트,2019,18.03,2.08
A023450,동남합성,2019,13.77,7.80
A004830,덕성,2019,13.82,0.54
A004440,삼일씨엔에스,2019,12.59,1.83
A005740,크라운해태홀딩스,2019,33.26,3.74
A005430,한국공항,2019,8.82,4.17
A011810,STX,2019,3.16,0.12
A004840,DRB동일,2019,21.79,4.84
A163560,동일고무벨트,2019,17.72,5.52
A003160,디아이,2019,29.99,-5.97
A024090,디씨엠,2019,17.10,12.06
A002700,신일전자,2019,24.85,1.08
A004060,SG세계물산,2019,28.17,0.16
A282690,동아타이어,2019,16.10,11.56
A008970,동양철관,2019,10.73,2.27
A012280,영화금속,2019,7.58,0.87
A011390,부산산업,2019,16.83,6.13
A000320,노루홀딩스,2019,23.75,2.83
A002450,삼익악기,2019,30.11,10.43
A003480,한진중공업홀딩스,2019,13.30,4.38
A200880,서연이화,2019,10.56,1.11
A001750,한양증권,2019,35.15,9.53
A008040,사조동아원,2019,11.01,3.02
A006380,카프로,2019,-7.66,-10.76
A009470,삼화전기,2019,14.39,2.62
A009460,한창제지,2019,14.89,5.98
A020760,일진디스플,2019,-14.95,-32.18
A012160,영흥,2019,10.54,1.72
A130660,한전산업,2019,12.59,6.87
A003830,대한화섬,2019,9.89,4.27
A004560,현대비앤지스틸,2019,10.02,4.98
A210540,디와이파워,2019,15.46,7.55
A035150,백산,2019,19.67,6.83
A012600,센트럴인사이트,2019,7.19,-11.80
A009070,KCTC,2019,14.48,4.26
A011500,한농화성,2019,10.80,5.84
A067830,세이브존I&C,2019,59.29,18.55
A009270,신원,2019,26.10,1.33
A071970,STX중공업,2019,5.26,-4.21
A013570,디와이,2019,12.25,5.16
A004080,신흥,2019,24.99,2.44
A014710,사조씨푸드,2019,7.19,2.79
A014530,극동유화,2019,5.72,2.09
A134790,시디즈,2019,20.15,4.48
A000890,보해양조,2019,15.31,-14.54
