Symbol,Name,year,asset,lev,sales,gross_profit,oper_income,net_income
A214420,토니모리,2019,241,144.35,172,58.48,-0.16,-3.31
A226320,잇츠한불,2019,539,13.39,204,55.68,5.35,3.64
A227840,현대코퍼레이션홀딩스,2019,241,34.51,184,14.87,5.05,5.28
A229640,LS전선아시아,2019,360,123.08,520,9.27,4.99,3.28
A234080,JW생명과학,2019,201,64.26,170,28.55,17.48,12.89
A241560,두산밥캣,2019,6704,68.49,4510,21.73,10.58,6.03
A241590,화승엔터프라이즈,2019,979,166.38,1202,15.33,7.11,5.42
A248170,샘표식품,2019,226,43.8,281,46.67,11.04,9.55
A249420,일동제약,2019,613,142.29,517,44.9,-0.27,-2.6
A251270,넷마블,2019,5806,24.91,2179,100,9.3,7.79
A264900,크라운제과,2019,333,134.36,387,36.24,6.86,4.9
A267250,현대중공업지주,2019,25716,116.38,26630,6.87,2.5,0.43
A267260,현대일렉트릭,2019,2256,222.25,1771,8.66,-8.85,-14.92
A267270,현대건설기계,2019,3188,102.14,2852,19.09,5.53,1.78
A267290,경동도시가스,2019,750,120.84,1423,7.91,1.97,1.73
A267850,아시아나IDT,2019,229,61.69,246,9.66,4.62,-3.27
A268280,미원에스씨,2019,312,25.09,378,19.1,12.33,10.47
A271560,오리온,2019,2452,47.06,2023,45.14,16.19,10.9
A271980,제일약품,2019,402,136.17,671,22.63,0.06,-1.58
A272210,한화시스템,2019,2409,148.78,1546,15.23,5.55,4.72
A272450,진에어,2019,704,267.37,910,3.68,-5.36,-6.22
A272550,삼양패키징,2019,564,97,375,21.04,11.08,7.56
A281820,케이씨텍,2019,338,17.01,265,32.94,18.49,13.89
A282330,BGF리테일,2019,2172,248.93,5946,17.77,3.31,2.55
A282690,동아타이어,2019,386,8.1,156,16.1,11.56,15.84
A284740,쿠쿠홈시스,2019,627,36.86,664,62.86,18.18,12.04
A285130,SK케미칼,2019,2132,196.6,1427,22.84,5.63,0.35
A286940,롯데정보통신,2019,697,78.45,846,8.84,4.86,6.27
A293480,하나제약,2019,263,19.38,166,66.25,20.18,17.01
A294870,HDC현대산업개발,2019,4410,97.58,4216,17.87,13.08,9.81
A298000,효성화학,2019,2064,353.81,1812,13.44,8.49,4.85
A298020,효성티앤씨,2019,3224,453.1,5983,9.42,5.4,2.04
A298040,효성중공업,2019,4001,303.92,3781,10.38,3.44,0.42
A298050,효성첨단소재,2019,2531,524.35,3054,11.69,5.18,-1.73
A298690,에어부산,2019,986,811.83,633,1.78,-5.98,-11.51
A300720,한일시멘트,2019,1384,55.97,946,18.1,6.23,4.28
A306200,세아제강,2019,1029,80.11,1227,9.01,3.74,2.03
A307950,현대오토에버,2019,1027,99.35,1572,10.41,5.1,3.62
A308170,센트랄모텍,2019,235,140.86,292,9.74,3.53,1.76
A316140,우리금융지주,2019,361981,1319.96,10577,25.95,12.33,8.97
A317400,자이에스앤디,2019,278,91.88,278,10.39,5.93,4.47
A322000,현대에너지솔루션,2019,481,51.37,446,14.6,4.95,5.28
A336260,두산퓨얼셀,2019,496,197.27,221,11.6,8.81,5.37
A336370,두산솔루스,2019,494,251.41,70,33.72,14.54,6.42
A900140,엘브이엠씨홀딩스,2019,679,108.28,364,7.09,-8.3,-15.29
